operating-platform|Related User Agents
Acer|236,284
Acer A37f|2
Acer BlackBerry Z Series|3
Acer Chromebook 11|10,706
Acer Chromebook 13|6,491
Acer Chromebook 14|5,651
Acer Chromebook 15|9,961
Acer Iconia (A500)|9,940
Acer Liquid MT|24
Alcatel Apache Web Server Pixi 4 (5) (6)|1
Alcatel Pixi 4 (5) (MT6580)|90,762
Amazon|26,174
Amazon Kindle|208
Amazon Kindle Fire|2,390
Amazon Kindle Fire (2015)|6,424
Amazon Kindle Fire (2017)|8,437
Amazon Kindle Fire (2nd Gen)|782
Amazon Kindle Fire 7 (2019)|19,945
Amazon Kindle Fire HD 10 (2015)|1,827
Amazon Kindle Fire HD 10 (2017)|12,060
Amazon Kindle Fire HD 10 (2019)|23,629
Amazon Kindle Fire HD 6 (2014)|2,488
Amazon Kindle Fire HD 7 (2014)|2,349
Amazon Kindle Fire HD 7"|1,163
Amazon Kindle Fire HD 7" (2013)|1,906
Amazon Kindle Fire HD 8 (2015)|1,320
Amazon Kindle Fire HD 8 (2016)|4,409
Amazon Kindle Fire HD 8 (2017)|11,380
Amazon Kindle Fire HD 8 (2018)|20,162
Amazon Kindle Fire HD 8.9"|1,040
Amazon Kindle Fire HDX 7" (2013)|2,859
Amazon Kindle Fire HDX 8.9 (2014)|2,029
Amazon Kindle Fire HDX 8.9" (2013)|1,820
AOPEN eTile 19 (WT19M-FI)|3
Apache Web Components|96
Apache Web Components 4.0|3
Apache Web Components 4.0.1|2
Apache Web Components 4.0.3|4
Apache Web Components 4.1|2
Apache Web Components 4.1.1|5
Apache Web Components 4.1.2|3
Apache Web Components 4.1.3|2
Apache Web Components 4.2|2
Apache Web Components 4.2.1|4
Apache Web Components 4.2.2|3
Apache Web Components 4.2.3|3
Apache Web Components 4.2.4|1
Apache Web Components 4.2.5|4
Apache Web Components 4.2.6|1
Apache Web Components 4.3|1
Apache Web Components 4.3.1|1
Apache Web Components 4.3.2|1
Apache Web Components 4.3.3|2
Apache Web Components 4.3.4|2
Apache Web Components 4.3.5|1
Apache Web Components 4.3.6|2
Apache Web Components 4.3.6.redhat|1
Apache Web Components 4.4|19
Apache Web Components 4.4.1|40
Apache Web Components 4.5|41
Apache Web Components 4.5.1|62
Apache Web Components 4.5.10|67
Apache Web Components 4.5.11|27
Apache Web Components 4.5.12|84
Apache Web Components 4.5.13|89
Apache Web Components 4.5.13.redhat|1
Apache Web Components 4.5.2|134
Apache Web Components 4.5.3|125
Apache Web Components 4.5.4|55
Apache Web Components 4.5.4.redhat|1
Apache Web Components 4.5.5|88
Apache Web Components 4.5.6|93
Apache Web Components 4.5.7|43
Apache Web Components 4.5.8|31
Apache Web Components 4.5.9|71
Apache Web Components 4.5.x|3
Apache Web Components 5.0|5
Apache Web Components 5.0.1|3
Apache Web Components 5.0.3|6
Apache Web Components 5.0.4|3
Apache Web Components 5.1|8
Apache Web Components 5.1.1|5
Apache Web Components 5.1.2|3
Apache Web Components 5.1.3|1
Apache Web Components 5.15.0.7|1
Apache Web Server|312
Apache Web Server (2.2.15)|1
Apache Web Server (2.2.3)|2
Apache Web Server (2.4)|1
Apache Web Server (2.4.16)|1
Apache Web Server (2.4.25)|4
Apache Web Server (2.4.29)|1
Apache Web Server (2.4.34)|3
Apache Web Server (2.4.46)|1
Apache Web Server (2.4.6)|4
Apache Web Server (2.4.7)|4
Apache Web Server (2.45)|2
Apache Web Server (5)|5
Apache Web Server (6)|143
Apache Web Server (7)|7
