operating-system|Related User Agents
A UNIX based OS|2,554
AIX|23
AmigaOS|238
Android|152,943,194
Bada|1,792
BeOS|143
BlackBerry OS|40,568
Caixa Magica|24
Chrome OS|180,012
Fire OS|156,116
FreeBSD|5,846
Glass OS|23
Haiku|84
HP webOS|72
iOS|33,869,497
IRIX|43
KaiOS|1,699
Linux|2,164,957
LiveArea|108
Mac|10,967
Mac OS X|1,277,845
macOS|2,110,732
NetBSD|11,505
OpenBSD|17,456
OS/2 Warp|408
OSF1|14
Palm|3
PalmOS|181
Remix OS|257
RIM Tablet OS|48
RISC OS|38
Roku OS|5,138
Star-Blade OS|7
SunOS|1,052
Symbian|165,489
tvOS|565
watchOS|1,505
WebOS|13,272
Windows|23,482,230
Windows 10 Mobile|57
Windows Mobile|1,098
Windows Phone|45,296
